TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/8/11 3:50,Dataset 1,10/8/11 3:50,10.01,0.076923,0.263464484,9.719010383,9.780852516,0.993677225,-0.006322775,10.01,10,0.07,1639.67,1639.67,9.946709019,1617.95,1663.046601,1639.19576
10/8/11 4:00,Dataset 1,10/8/11 4:00,9.29,0.091496,0.164958223,9.108806758,9.066684536,1.004645824,0.004645824,9.29,9,0.09,1366.49,1366.49,9.333159706,1381.73,1367.148643,1382.813679
10/8/11 4:10,Dataset 1,10/8/11 4:10,9.77,0.108495,0.27362515,9.400519028,9.35117595,1.005276671,0.005276671,9.77,10,0.11,1549.37,1549.37,9.821553075,1568.42,1542.829517,1561.272522
10/8/11 4:20,Dataset 1,10/8/11 4:20,9.62,0.159044,0.228723806,9.475356825,9.363470066,1.011949284,0.011949284,9.62,10,0.15,1492.22,1492.22,9.734952108,1534.13,1452.105247,1485.831718
10/8/11 4:30,Dataset 1,10/8/11 4:30,9.67,0.104447,0.31228074,9.301224837,9.331991153,0.996703135,-0.003296865,9.67,10,0.11,1511.27,1511.27,9.638119315,1499.84,1508.53622,1497.259291
10/8/11 4:40,Dataset 1,10/8/11 4:40,9.97,0.090271,0.248290491,9.8455073,9.842029514,1.000353361,0.000353361,9.97,10,0.09,1625.57,1625.57,9.973523006,1625.57,1635.304749,1635.348073
10/8/11 4:50,Dataset 1,10/8/11 4:50,10.95,0.128767,0.218145679,10.71736885,10.67527953,1.003942691,0.003942691,10.95,11,0.13,1890.65,1890.65,10.99317246,1901.33,1838.856372,1849.391661
10/8/11 5:00,Dataset 1,10/8/11 5:00,9.95,0.130653,0.219423351,9.783854513,9.723782153,1.00617788,0.00617788,9.95,10,0.13,1617.95,1617.95,10.01146991,1639.67,1585.791266,1605.213365
10/8/11 5:10,Dataset 1,10/8/11 5:10,10.31,0.084384,0.184823323,9.962189359,9.925253939,1.003721358,0.003721358,10.31,10,0.09,1719.77,1719.77,10.3483672,1730.45,1742.065814,1753.411926
10/8/11 5:20,Dataset 1,10/8/11 5:20,10.06,0.093439,0.230958512,9.75906619,9.748171707,1.001117592,0.001117592,10.06,10,0.09,1653.02,1653.02,10.07124298,1655.69,1660.412908,1663.197168
10/8/11 5:30,Dataset 1,10/8/11 5:30,8.3,0.122892,0.209436634,8.178584922,8.190761099,0.998513426,-0.001486574,8.3,8,0.13,999.1,999.1,8.287661432,995.43,1010.194038,1006.598291
